,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
223,03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,"11.222, 169.852005"
440,07FA,small_airport,Ocean Reef Club Airport,8.0,,US,US-FL,Key Largo,07FA,OCA,07FA,"25.325399398804, -80.274803161621"
594,0AK,small_airport,Pilot Station Airport,305.0,,US,US-AK,Pilot Station,,PQS,0AK,"61.934601, -162.899994"
673,0CO2,small_airport,Crested Butte Airpark,8980.0,,US,US-CO,Crested Butte,0CO2,CSE,0CO2,"38.851918, -106.928341"
1088,0TE7,small_airport,LBJ Ranch Airport,1515.0,,US,US-TX,Johnson City,0TE7,JCY,0TE7,"30.251800537100003, -98.62249755859999"
1402,13MA,small_airport,Metropolitan Airport,418.0,,US,US-MA,Palmer,13MA,PMX,13MA,"42.223300933800004, -72.31140136719999"
1438,13Z,seaplane_base,Loring Seaplane Base,0.0,,US,US-AK,Loring,13Z,WLR,13Z,"55.6012992859, -131.636993408"
1555,16A,small_airport,Nunapitchuk Airport,12.0,,US,US-AK,Nunapitchuk,PPIT,NUP,16A,"60.905591, -162.440454"
1574,16K,seaplane_base,Port Alice Seaplane Base,0.0,,US,US-AK,Port Alice,16K,PTC,16K,"55.803, -133.597"
1722,19AK,small_airport,Icy Bay Airport,50.0,,US,US-AK,Icy Bay,19AK,ICY,19AK,"59.96900177, -141.662002563"
1758,19P,seaplane_base,Port Protection Seaplane Base,0.0,,US,US-AK,Port Protection,19P,PPV,19P,"56.328800201416, -133.61000061035"
1984,1KC,small_airport,Kalakaket Creek AS Airport,1598.0,,US,US-AK,Kalakaket Creek,1KC,KKK,1KC,"64.4166256967, -156.820392609"
2170,1O6,small_airport,Dunsmuir Muni-Mott Airport,3258.0,,US,US-CA,Dunsmuir,KMHS,MHS,1O6,"41.263199, -122.272003"
2382,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,4100.0,,US,US-AZ,Whitmore,,GCT,1Z1,"36.259701, -113.231003"
2383,1Z9,seaplane_base,Ellamar Seaplane Base,0.0,,US,US-AK,Ellamar,,ELW,1Z9,"60.893818, -146.704038"
2967,2AK,small_airport,Lime Village Airport,552.0,,US,US-AK,Lime Village,2AK,LVD,2AK,"61.3591003418, -155.440002441"
2974,2AK6,small_airport,Hog River Airport,534.0,,US,US-AK,Hogatza,2AK6,HGZ,2AK6,"66.2161026, -155.6690063"
